NOME,PRATO,DESCRICAO,ENDERECO,TELEFONE,IMG_URL
Companhia do Dino,Barriga do Dino,Barriga frita com geleia de pimenta e mandioca na manteiga de garrafa.,"Avenida Joaquim Clemente, 682 | Floramar, Belo Horizonte – MG",31993418788,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050131/companhiadodino_barrigadodinoc_bh_2025_rodneycosta_unibh-7498-scaled.jpg
Conectados Bar,"Ajoelhou, vai ter que rezar!","Cozido de joelho de porco e pernil com especiarias, servido sobre creme de mandioca ao alho, acompanhado de farofa de milho amanteigado e banana-da-terra.","Avenida Francisco Sá, 280 | Prado, Belo Horizonte – MG","(31) 99638-1822
(31) 3568-8130",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152240/conectadosbar_ajoelhouvaiterquerezar_bh_2025_amandacantanhede_unibh-8227-scaled.jpg
COSMOS,Meteoro – Explosão de sabores,"Tiras de picanha, alcatra e maminha ao molho de cerveja preta, com batata tipo chips e creme de alho.","Avenida Vicente Risola, 1305 | Santa Inês, Belo Horizonte – MG",31991203515,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050033/cosmos_meteoroexplosaodesabores_bh_2025_rodneycosta_unibh-7483-scaled.jpg
Deck Boi na Brasa,Tulipa do Cheff,"Tulipas de frango assadas na brasa, envolvidas em um molho agridoce da casa com um toque de goiabada, servidas com minibatatas rústicas e banana-da-terra mini fritas, regadas ao molho de ervas.","Rua Desembargador José Satyro, 302 | Castelo, Belo Horizonte – MG",31971830748,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152342/deckboinabrasa_tulipadochefe_bh_2025_isaquerodrigues_unibh-9360-scaled.jpg
Dona Dora,Boleco (Bolo di Buteco),"Purê rústico de mandioca com ragu de alcatra, fonduta de queijo canastra e crispy de couve.","Rua Rio de Janeiro, 1205 | Centro, Belo Horizonte – MG",31992278879,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152435/donadora_boleco_bolodecuteco_bh_2025_rodneycosta_unibh-8708-scaled.jpg
Dona Ju Gastro Bar,Jú-elhoo,"Joelho de porco marinado em especiarias, cozido na cerveja e acompanhado de angu de milho verde e couve passada no azeite. E ambrosia de sobremesa para comemorar os 25 anos do CDB.","Estrada dos Borges, 1520 | Jardim Vitória, Belo Horizonte – MG",31992534428,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152529/donajugastro_ju-elho_bh_2025_rodneycosta_unibh-7719-scaled.jpg
Dona Suica,Prata da Casa,"Sobrecoxa desossada e assada, polenta de milho verde com bacon e queijo e farofinha com quiabo grelhado.","Rua João Samaha, 390 | São João Batista (Venda Nova), Belo Horizonte – MG",31992939701,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045850/donasuica_pratodacasa_bh_2025_mylenaizis_unibh-9180-scaled.jpg
Ember BBQ,Cupim Sertanejo,"Cupim defumado em lenha de macieira. Servido sobre angu de milho verde com queijo minas, acompanhado de couve crispy e pimenta jalapeño.","Rua São Romão, 460 | São Pedro, Belo Horizonte – MG",313582-9898,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045825/embeer_cupimsertanejo_bh_2025_isaquerodrigues_unibh-7851-scaled.jpg
Espetinho do Boi,Brigadeiro do Boi,Almôndega selada no forno com cobertura de queijo ao molho especial.,"Rua Professor Tristão da Cunha, 183 – Planalto, Belo Horizonte – MG",31991215352,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152726/espetinhodoboi_brigadeirodoboi_bh_2025_rodneycosta_unibh-8501-scaled.jpg
Espetinhos do Paulão,Vaca Faladeira,"Língua de boi recheada com bacon e cenoura ao molho madeira. Acompanha dois minipães italianos recheados com vinagrete de tomate, cebola temperada com chimichurri de limão e azeite, com muçarela gratinada e manjericão desidratado.","Rua Álvaro Mata, 466 | Nova Cachoeirinha, Belo Horizonte – MG",31998509073,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152839/espetinhodopaulao_vacafaladeira_bh_2025_rodneycosta_unibh-8425-scaled.jpg
Espettinho.com,Mineirinho Gratinado 2.5,Almôndegas suínas gratinadas com molho de tomate caseiro e muçarela. Acompanha 1 Espetinho de ‘Sacanagem’ e um licor de doce de leite de entrada.,"Rua Eli Seabra Filho, 510 | Buritis, Belo Horizonte – MG","(34) 99915-7000
(31) 99915-2800",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153114/espettinhocom_mineirimgratinado_bh_2025_rodneycosta_unibh-9129-scaled.jpg
Fogão de Minas,Tropa de Elite,Petisco de tropeiro.,"Avenida Doutor Cristiano Guimarães, 1911 | Planalto, Belo Horizonte – MG",3134914152,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153205/fogaodeminas_tropadeelite_bh_2025_rodneycosta_unibh-8509-scaled.jpg
Garagge Vintage,Bão Também,"Maminha cozida marinada no vinho tinto, servida com molho madeira, acompanhada de purê de abóbora moranga com bacon frito triturado e chips de massa de lasanha.","Avenida Doutor Cristiano Guimarães, 1258 | Planalto, Belo Horizonte – MG",31999778888,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153255/garaggevintage_baotambem_bh_2025_amandacantanhede_unibh-8958-scaled.jpg
Geraldin da Cida,"Sô mineiro, uai!",Alcatra com farofa de jiló com bacon. Acompanha uma sobremesa de doce de leite com castanha e bacon.,"Rua Contria, 1459 | Grajaú, Belo Horizonte – MG",(31) 998322265,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153406/geraldimdacida_soumineirouai_bh_2025_rodneycosta_unibh-8364-scaled.jpg
Golden Grill,Costelão dos Deuses,"Costelão de boi marinado em ervas finas acompanhado de purê de mandioca aligot, farofa crocante e molho agridoce especial.","Rua Amílcar Cabral, 515 | Milionários, Belo Horizonte – MG",31998205528,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045801/goldengrill_costelaodosdeuses_bh_2025_rodneycosta_unibh-8167-scaled.jpg
Iracema Bar,Harumaki de Carne de Panela,"Harumaki, também conhecido como rolinho primavera, recheado com uma carne de panela cozida com especiarias. Servido com um molho agridoce e picante.","Rua Almandina, 56 | Santa Teresa, Belo Horizonte – MG",31995320617,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153541/iracema_harumakidecarnedepanela_bh_2025_fernandaoliveira_unibh-8240-scaled.jpg
Ivo Grill,Kafajeste,"Kafta defumada na brasa harmonizada com sour cream, geleia de pimentas vermelhas e cebola em tiras crocantes.","Rua Professor Tristão da Cunha, 183 | Planalto, Belo Horizonte – MG",3130470171,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045738/ivogrill_kafajeste_bh_2025_mylenaizis_unibh-9216-scaled.jpg
Já To Inno,Moderação,"Kafta de lata, acompanhada de caponata de tomate com bacon e linguiça regados com angu à moda da casa gratinado com queijo.","Rua Benjamim Dias, 379 | Barreiro, Belo Horizonte – MG",3133841198,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045650/jatoinno_moderacao_bh_2025_fernandaoliveira_unibh-8097-scaled.jpg
Juzé Bar,"Macaxeira no buraco quente, com sabor de quero+","Carne cozida desfiada ao molho, servida na panhoca, acompanhada de macaxeira cozida na manteiga de garrafa ao alho e cebola caramelizada.","Rua Carlos Sá, 180 | Jardim Atlântico, Belo Horizonte – MG",31989025128,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153752/juze_abacaxedanoburacoquente_bh_2025_isaquerodrigues_unibh-8653-scaled.jpg
Köbes Emporium Bar,Asas da Imaginação,"Asas de porco com molho à moda da casa, sobre purê de batata com açafrão.","Rua Professor Raimundo Nonato, 31 | Santa Tereza, Belo Horizonte – MG",3134676661,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153848/kobes_asasdaimaginacao_bh_2025_isaquerodrigues_unibh-7787-scaled.jpg
Koqueiros Bar,"Duvidei, mas amei!","Berinjela empanada e frita servida ao molho à bolonhesa em uma cama de requeijão cremoso, coberta de muçarela. Acompanha pasteizinhos de vento da casa.","Avenida Silviano Brandão, 1293 | Sagrada Família, Belo Horizonte – MG",3125107025,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045716/koqueiros_duvideimasamei_bh_2025_isaquerodrigues_unibh-7679-scaled.jpg
Lá Ele Bar,Peitin Moído,"Maçã de peito cozida com legumes, acompanhada de farofa da casa, LAELEgrete e pão.","Av. General Carlos Guedes, 165 | Planalto, Belo Horizonte – MG",31971321361,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19154054/laele_peitimmoiado_bh_2025_rodneycosta_unibh-9100-scaled.jpg
Leo da Quadra,Lembe os beiço,"Bisteca bovina, acompanhada de pirão e torradas.","Rua Oliveira Lisboa, 107 | Barreiro, Belo Horizonte – MG",31996739688,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19154147/leodaquadra_lembeosbeicos_bh_2025_rodneycosta_unibh-7632-scaled.jpg
Locomotiva’s Bar,CUPIM: Embriagado e trouxa,"Trouxinha recheada com cupim marinado na cachaça e queijo canastra, acompanha maionese de alho.","Rua Carmésia, 568 | Santa Inês, Belo Horizonte – MG",31991773039,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045235/locomotivasbar_cumpimembreagadoetrouxa_bh_2025_amandacantanhede_unibh-8315-scaled.jpg
Magnífico Quintal,Cocoricó,"Frango assado com molho, batata recheada e pepino agridoce.","Rua Jefferson de Oliveira, 56 | Santa Amélia, Belo Horizonte – MG",31999882311,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045339/magnifcoquinta_cocorico_bh_2025_isaquerodrigues_unibh-7756-scaled.jpg
Magrelo’s Bar,Amigos do Peito,"Maçã de peito marinada em vinho tinto com ervas aromáticas, servida com polenta cremosa gratinada com queijo canastra e bolinhos de aipim, acompanhados de aioli de rúcula fresco.","Avenida Serrana, 635 | Serrano, Belo Horizonte – MG","(31) 99838-8998
(31) 3475-0113",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045407/magrelos_amigosdopeito_bh_2025_isaquerodrigues_unibh-9303-scaled.jpg
Mamute Bar,C Tá de Parabéns!,"Bife rolê recheado com cenoura e carne de linguiça acompanhado de batata sauté, couve crispy e farofa da vovó.","Rua Brás Cubas, 116 | Cruzeiro, Belo Horizonte – MG",(31) 98403-3247,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19154240/mamute_ctadeparabens_bh_2025_mylenaizis_unibh-8079-scaled.jpg
Marina's Bar,Estrem voa!,"Asinha de frango frita, marinada na laranja e ervas, coberta de queijo muçarela, acompanhada com creme de alho-poró e gengibre picante e fritas.","Rua José Baroni, 13 | Santa Efigênia, Belo Horizonte – MG",31996156963,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19154422/marinas_essetremvoa_bh_2025_isaquerodrigues_unibh-7376-scaled.jpg
Mineiros Beer,Costela de Romeu e Julieta,"Costelinha suína assada lentamente, servida com molho de queijo canastra, barbecue de goiabada e farofa torrada.","Rua Romualdo Lopes Cançado, 399 | Castelo, Belo Horizonte – MG",3121273503,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19154514/mineirosbeer_costeladeromeu_bh_2025_isaquerodrigues_unibh-8592-scaled.jpg
Mulão,Mullé,"Chã de fora recheada com calabresa no molho de cebola caramelizada no açúcar queimado. Acompanha purê de batatas, pimenta-biquinho, cebolinha.","Rua Marambaia, 291 | Caiçara, Belo Horizonte – MG",3134126505,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045206/mulao_mulle_bh_2025_fernandaoliveira_unibh-7464-scaled.jpg
Nosso Spetim,Língua de Dois Amores,"Língua ao molho madeira, com fatia de pães e um espetinho de medalhão de batata recheada com queijo minas acompanhado de geleia biquinho.","Rua dos Astecas, 3219 | Santa Mônica, Belo Horizonte – MG",31987079188,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045142/nonospetim_linguadedoisamores_bh_2025_isaquerodrigues_unibh-9340-scaled.jpg
O Fino do Alho,SôdaTerra,"Carne de panela, temperada com especiarias, acompanhada de mandioca cozida no suco de beterraba e açafrão, finalizada com crispy de bacon e banana-da-terra.","Rua Capitão Sérgio Pires, 41 | Minascaixa, Belo Horizonte – MG",31988275391,https://comidadibuteco.com.br/wp-content/uploads/2025/03/ofinodoalho_sodeminas_bh_2025_isaquerodrigues_unibh-9054-scaled.jpg
Oratório Bar,Costela de Adão,"Costelinha de porco assada, finalizada com molho barbecue e guarnecida em cama de farofa crocante, acompanhada de uma maçã caramelizada.","Avenida Brasil, 161 | Santa Efigênia, Belo Horizonte – MG",3132417112,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19155430/oratoriobar_costeladeadao_bh_2025_amandacantanhede_unibh-8929-scaled.jpg
Parada 10.95 Bar,Parada Holandesa,Uma adaptação do tradicional prato belgo-holandês carbonnade flamande. Carne bovina marinada na cerveja e cozida lentamente. Acompanha purê de mandioca e batata crocante.,"Avenida dos Engenheiros, 1095 | Alípio de Melo, Belo Horizonte – MG",31997001095,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19155719/parada1095_bh_2025_amandacantanhede_unibh-8058-scaled.jpg
Parada do Sabor,Coração do Parada,"Coração de boi recheado com: bacon, linguiça, cenoura. Acompanha farofa, batata bolinha assada e molho glace.","Avenida General Carlos Guedes, 346 | Planalto, Belo Horizonte – MG",31988995343,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045053/paradadosabor_coracaodoparada_bh_2025_isaquerodrigues_unibh-8637-scaled.jpg
Pé de Cana,É PRAAATA!!!É PRAAAATA!!,"Bolo suíno recheado de queijo, acompanhado de molho de tomate, cobertura de muçarela e “confetes” de tomate, batatinha e cebola assadas.","Rua Flórida, 15 | Sion, Belo Horizonte – MG",3132212099,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19155918/pedecana_eprata_bh_2025_isaquerodrigues_unibh-7883-scaled.jpg
Pé de Goiaba,Bodas de Prata – 25 ANOS JUNTOS,"Lombo com queijo ao molho de abacaxi picante, farofa de bacon, torresminho à pururuca e couve.","Avenida Amazonas, 4676 | Nova Suíssa, Belo Horizonte – MG",(31) 3347-9425,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044957/pedegoiaba_bodasdeprata_bh_2025_isaquerodrigues_unibh-8633-scaled.jpg
Planeta Lúpulo,Cestinha das Gerais,"Cestinhas de massa crocante recheadas com aligot de batata e queijo e fraldinha cozida na cerveja stout. Acompanhadas com biscoitos de queijo, farofa de bacon e couve crispy.","Avenida Guarapari, 108 | Santa Amélia, Belo Horizonte – MG",3136461088,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19160104/planetalupulo_cestinhadasgerais_bh_2025_isaquerodrigues_unibh-8557-scaled.jpg
PoiZé Bar e Petisqueira,Aparecidinho do Zé,Versão desconstruída do escondidinho. Creme de moranga com carne do sertão e cebola. Acompanha molho de cebola roxa.,"Rua Pium-I, 686 | Cruzeiro, Belo Horizonte – MG",31997760076,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045021/poize_aparecidinhodoze_bh_2025_rodneycosta_unibh-7767-scaled.jpg
Prado Beer,Amontadinho,"Angu com carne de panela, chips de jiló e molho à base de milho e cachaça.","Avenida Francisco Sá, 590 | Prado, Belo Horizonte – MG","(31) 2551-7794
(31) 3267-4410",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19160250/pradobeer_amontadinho_bh_2025_isaquerodrigues_unibh-8981-scaled.jpg
Prosa Boa,Roendo até os ossos,"Costela bovina braseada, acompanhada de batatinhas temperadas, antepasto de azeitonas e tomatinhos e farofa crocante de bacon.","Avenida Doutor Cristiano Guimarães, 1480 | Planalto, Belo Horizonte – MG","(31) 3643-9840
(31) 98528-4061",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19160333/prosaboa_roendoateoosso_bh_2025_rodneycosta_unibh-7476-scaled.jpg
Quinteiro Bar e Restaurante,Vou comer seu bolo,"Massa de fubá com queijo, patinho desfiado com molho, tartar de tomate e cream cheese caseiro temperado.","Rua Salinas, 1008 | Floresta, Belo Horizonte – MG",31994705205,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19170230/quinteirobar_voucomermeubolo_bh_2025_isaquerodrigues_unibh-8588-scaled.jpg
Quioxque Botequim Carioca,Estamos de Parabéns,Bolo de mandioca na manteiga de garrafa recheado com carne seca e cobertura de cebola caramelizada e glacê de fonduta de queijo,"Rua Henrique Badaró Portugal, 157 | Buritis, Belo Horizonte – MG",31984778708,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19170333/quioxque_estamosdeparabens_bh_2025_isaquerodrigues_unibh-7820-scaled.jpg
Quitandas da Tia Nice Bar,QUÊ SÉ QUÉ!,"Disco de carne recheada com provolone, acompanhado de molhos especiais da casa e cachaça artesanal.","Rua Alabastro, 146 | Sagrada Família, Belo Horizonte – MG",3198240120,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044911/quitandatianice_queceque_bh_2025_rodneycosta_unibh-7389-scaled.jpg
Rancho do Manoel,Trem Bão Sô!,Maçã de peito acompanhada de purê de moranga e farofa da casa.,"Rua Isabel Bueno, 1100 | Jaraguá, Belo Horizonte – MG",3134277666,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19171029/ranchodomanoel_trembaoso_bh_2025_rodneycosta_unibh-7453-scaled.jpg
Recanto Vovó Tela,DE “25” 10 TMJ,"Picanha suína assada, marinada em limão pepper e páprica picante, acompanhada de minicebola empanada, farofa de ervilha e chutney de abacaxi com pimenta-dedo-de-moça.","Rua Tenente Marino Freire, 270 | Maria Helena, Belo Horizonte – MG",31985099625,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044845/recantovovotela_de2510tmj_bh_2025_rodneycosta_unibh-9209-scaled.jpg
Regis Bar,Trio parada dura,Costelinha ao molho de abacaxi com mandioca e cebola.,"Avenida Vinte e Oito de Setembro, 872 | Esplanada, Belo Horizonte – MG",31987862438,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044821/regisbar_trioparadadura_bh_2025_isaquerodrigues_unibh-8785-scaled.jpg
Rei do Peixe,Bolinhos Bodas de Prata,"Bolinho de tilápia recheado com tilápia e queijo, acompanhado com molho verde e geleia de pimenta.","Rua Ramalho Ortigão, 735 | Santa Branca, Belo Horizonte – MG",31972669782,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/10074117/oreidopeixe_bolinhobodasdeprata_bh_2025_rodneycosta_unibh-9259-scaled.jpg
Resenha da Naty,Trem Bão Demais Sô,"Bolinho de linguiça suína, recheado de muçarela e um toque de limão para finalizar.","Rua Gonçalves Ledo, 288 | Cachoeirinha, Belo Horizonte – MG",31999284873,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044659/resenhadanaty_trembaumdemasso_bh_2025_isaquerodrigues_unibh-8123-scaled.jpg
Restaurante Jorge Americano,Rabada do Jorge Americano,"Rabada ensopada, servido com batata bolinha. Acompanhada de farofa de torresmo e vinagrete de agrião.","Avenida Augusto de Lima, 744 | Centro, Belo Horizonte – MG",31988220298,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044742/jorgeamericano_rabadadojorge__bh_2025_isaquerodrigues_unih-7967-scaled.jpg
S.O.S PUB,Socorro do Mineiro,"Enroladinho de sururu com batata, enroladinho de lombo de porco com abacaxi cozido, enroladinho de feijoada e um miniempadão de frango e pernil com linguiça molhadinho. Todos acompanhados pelo molho especial da casa.","Rua Padre José Maurício, 1126 | Vista Alegre, Belo Horizonte – MG",31992950703,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044605/sospub_socorrodomineiro_bh_2025_amandacantanhede_unibh-8010-scaled.jpg
Santa Boemia,Sextou BB!,"Bolinhos de feijoada, recheados com calabresa e couve, acompanhados de torresminho pururuca, vinagrete da casa, laranja e uma dose de cachaça.","Rua Mármore, 534 | Santa Tereza, Belo Horizonte – MG",(31) 99132-2623,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19171327/santaboemia_sextoubb_bh_2025_rodneycosta_unibh-7592-scaled.jpg
