NOME,PRATO,DESCRICAO,ENDERECO,TELEFONE,IMG_URL,LATITUDE,LONGITUDE,id
Recanto Vovó Tela,DE “25” 10 TMJ,"Picanha suína assada, marinada em limão pepper e páprica picante, acompanhada de minicebola empanada, farofa de ervilha e chutney de abacaxi com pimenta-dedo-de-moça.","RUA ANTONIO BRIGIO PINTO, 142 - MARIA HELENA , Belo Horizonte, MG, Brasil",31985099625,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044845/recantovovotela_de2510tmj_bh_2025_rodneycosta_unibh-9209-scaled.jpg,-19.8031961,-43.9938525,4831
Regis Bar,Trio parada dura,Costelinha ao molho de abacaxi com mandioca e cebola.,"RUA MONTE SIMPLON, 300 - NOVA SUISSA , Belo Horizonte, MG, Brasil",31987862438,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044821/regisbar_trioparadadura_bh_2025_isaquerodrigues_unibh-8785-scaled.jpg,-19.9320515,-43.9816779,4706
Rei do Peixe,Bolinhos Bodas de Prata,"Bolinho de tilápia recheado com tilápia e queijo, acompanhado com molho verde e geleia de pimenta.","RUA PITANGUI, 22 - SAO CRISTOVAO , Belo Horizonte, MG, Brasil",31972669782,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/10074117/oreidopeixe_bolinhobodasdeprata_bh_2025_rodneycosta_unibh-9259-scaled.jpg,-19.9025123,-43.9419455,4182
Toca do Ogro,Ripa de Prata,Picolé Mineiro – Costelinha suína com pele e osso. Acompanhada de purê de mandioca e crispy de couve.,"RUA PROFESSOR NELSON DE SENA, 4 - AEROPORTO , Belo Horizonte, MG, Brasil",3136653838,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19171927/tocadoogro_ripadeprata_bh_2025_rodneycosta_unibh-9147-scaled.jpg,-19.8543191,-43.9568613,3073
Us Motoca,Bodas de Prata,"Polpetas de carne recheadas com queijo, servido sobre aligot de batata e molho de tomates rústico, gratinado e guarnecido de crispy de jiló e picles de cebola-roxa.","RUA BLENDA, 91 - CAMARGOS , Belo Horizonte, MG, Brasil",31985444031,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044259/usmotoca_bodasdeprata_bh_2025_mylenaizis_unibh-9157-scaled.jpg,-19.9407705,-44.0148074,5314
Xambar,Mineirin Oriental,"Miolo de acém assado na pressão, acompanhado de mandioca cozida na manteiga e farofa de banana da terra","RUA DA BAHIA, 1148 - CENTRO , Belo Horizonte, MG, Brasil",31994108635,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19172132/xambar_minerimorienta_bh_2025_isaquerodrigues_unibh-7522-scaled.jpg,-19.9250301,-43.93764,152
Zé Bolacha,Rabicó,"Bolinho de costelinha desfiada com requeijão e muçarela, empanada no panko com molho de laranja e mel.","RUA DAS MELANCIAS, 35 - VILA CLORIS , Belo Horizonte, MG, Brasil",3134541052,https://comidadibuteco.com.br/wp-content/uploads/2025/03/zebolacha_rabico_bh_2025_isaquerodrigues_unibh-9275-scaled.jpg,-19.8202025,-43.9510724,1304
Alexandre's Bar,O fabuloso discão,Polpetone com recheio de muçarela acompanhada com caponata de berinjela e abobrinha.,"RUA DAVID ALVES DO VALE, 68 - SANTA ROSA , Belo Horizonte, MG, Brasil",31997753957,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19134138/alexandresbar_fabulosodiscao_bh_2025_isaquerodrigues_unibh-8111-scaled.jpg,-19.8634011,-43.9441692,4620
Azougue Fogo e Bar,Língua da vovó Virinha,"Língua de boi assada, sobre creme de batata e milho com vinagrete mineiro e redução do caldo da própria língua com cerveja.","RUA DO OURO, 835 - SERRA , Belo Horizonte, MG, Brasil",31971601028,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15051233/azougue_linguadevovovirinha_bh_2025_isaquerodrigues_unibh-7366-scaled.jpg,-19.9403611,-43.9200245,3132
Bar Bendita Baderna,PARABÉNS CDB,"Coxinhas recheadas para todos os gostos, massa de abóbora com recheio de frango com quiabo, massa de mandioca com recheio de carne de lata (suína) e massa de beterraba com recheio de alho-poró com queijo canastra.","RUA SILVA FORTES, 47 - UNIAO , Belo Horizonte, MG, Brasil",31991823030,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19142754/benditabaderna_parabenscdb_bh_2025_rodneycosta_unibh-8203-scaled.jpg,-19.8811789,-43.9272578,3475
Bar da Fia,Língua no rabo,"Língua bovina com rabada, servida com polenta, quiabo frito e agrião.","RUA DOS ASTECAS, 2722 - SANTA MONICA , Belo Horizonte, MG, Brasil",31985402775,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15051142/bardafia_linguanorabo_bh_2025_rodneycosta_unibh-7352-scaled.jpg,-19.8316642,-43.976161,1228
Bar da Silvânia,"Õ trem bão, sô",Maçã de peito com mandioquinha e torradas de pão francês.,"RUA SOARES NOGUEIRA, 801 - CAMARGOS , Belo Horizonte, MG, Brasil",31993387815,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050951/bardasilvania_otrembaumso_bh_2025_rodneycosta_unibh-8183-scaled.jpg,-19.9413608,-44.0180235,7459
Bar e Restaurante do Joãozinho,Trio Mineiro,"Quarteto: carne de lata bovina frita, torresmo pururuca, queijo temperado à moda da casa, molho de alho-poró.","RUA PINHEIRO CHAGAS, 295 - BARREIRO , Belo Horizonte, MG, Brasil",31986444529,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/24070652/bardojoaozinho_triomineiro_bh_2025_rodneycosta_unibh-7419-scaled.jpg,-19.9777939,-44.0137931,8801
Bar Estabelecimento,Tipracas,"Pelotas de rabada com angu de agrião em molho de tomate com cebola e tipracas (tipo bolachas feitas com arroz, feijão roxinho, queijo e especiarias.)","RUA MONTE ALEGRE, 160 - SERRA , Belo Horizonte, MG, Brasil",31983921059,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/07104420/barestabelecimento_tipracas_bh_2025_rodneycosta_unibh-8153-scaled.jpg,-19.9363019,-43.9239093,7568
Bar Mania Mineira,Explosão de Sabor,Bolinho de mandioca recheado com queijo.,"RUA PARACATU, 1099 - SANTO AGOSTINHO , Belo Horizonte, MG, Brasil",31985126504,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050748/maniamineira_explosaodesabores_bh_2025_fernandaoliveira_unibh-8088-scaled.jpg,-19.9291267,-43.9537761,4130
Bar Pompéu,É mas num é,"Iscas de filé de frango empanadas nos flocos de arroz, regado ao molho de alho-poró e cream cheese. Acompanha batata frita canoa e molho agridoce de goiabada.","RUA SAO MIGUEL, 779 - ITAPOA , Belo Horizonte, MG, Brasil",3136653506,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050703/pompeu_emasnume_bh_2025_rodneycosta_unibh-8144-scaled.jpg,-19.8431885,-43.9565294,2775
Barzim dos amigos,Porpeta de Buteco,Almôndegas ao sugo com batata recheada.,"RUA LINDOLFO DE AZEVEDO, 1263 - JARDIM AMERICA , Belo Horizonte, MG, Brasil",31998561240,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150257/bardosamigos_porpetadebuteco_bh_2025_isaquerodrigues_unibh-7775-scaled.jpg,-19.9517213,-43.9693972,5298
Camisola Bar,Costela Mineira,"Costela de boi cozida na cerveja preta, acompanhada com um purê de mandioca com queijo.","RUA LUTHER KING, 242 - CIDADE NOVA , Belo Horizonte, MG, Brasil",31999486915,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151142/camisola_costelamineira_bh_2025_rodneycosta_unibh-7449-scaled.jpg,-19.8926606,-43.924606,904
Chopp da Esquina,Rolê do Chopp,"Bife a rolê, acompanha farofa de torresmo.","RUA GARRET, 263 - NOVA GRANADA , Belo Horizonte, MG, Brasil",31971407790,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152143/choppdaesquina_roledochopp_bh_2025_isaquerodrigues_unibh-8826-scaled.jpg,-19.9432796,-43.9684262,899
Dona Dora,Boleco (Bolo di Buteco),"Purê rústico de mandioca com ragu de alcatra, fonduta de queijo canastra e crispy de couve.","RUA RIO DE JANEIRO, 1205 - CENTRO , Belo Horizonte, MG, Brasil",31992278879,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152435/donadora_boleco_bolodecuteco_bh_2025_rodneycosta_unibh-8708-scaled.jpg,-19.9233531,-43.939773,5421
